回号,抽せん日,本数字,ボーナス数字,日付,1,2,3,4,5,6,ボーナス
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30,,,,,,,,
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30.0,,,,,,,,
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30.0,,,,,,,,
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30.0,,,,,,,,
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30.0,,,,,,,,
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30.0,,,,,,,,
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30.0,,,,,,,,
1977回,2025年2月27日 抽選,04 14 20 28 29 34,30.0,,,,,,,,
,,,,2/24,4.0,6.0,22.0,30.0,33.0,36.0,2.0
,,,,2/20,11.0,13.0,15.0,20.0,35.0,42.0,2.0
,,,,2/17,2.0,6.0,13.0,21.0,24.0,30.0,19.0
,,,,2/13,7.0,10.0,14.0,27.0,28.0,32.0,43.0
,,,,2/10,3.0,14.0,27.0,28.0,32.0,36.0,4.0
,,,,2/6,2.0,6.0,9.0,26.0,32.0,36.0,12.0
,,,,2/3,11.0,26.0,27.0,31.0,36.0,37.0,23.0
,,,,1/30,3.0,7.0,12.0,13.0,35.0,38.0,42.0
,,,,1/27,6.0,13.0,15.0,22.0,35.0,41.0,24.0
,,,,1/23,3.0,4.0,22.0,26.0,29.0,35.0,37.0
,,,,1/20,4.0,12.0,25.0,29.0,34.0,36.0,32.0
,,,,1/16,17.0,18.0,20.0,23.0,33.0,43.0,19.0
,,,,1/13,2.0,5.0,28.0,33.0,35.0,36.0,34.0
,,,,1/9,3.0,4.0,20.0,29.0,35.0,38.0,6.0
,,,,1/6,4.0,8.0,19.0,22.0,32.0,37.0,26.0
,,,,12/30,11.0,12.0,27.0,28.0,38.0,43.0,10.0
,,,,12/26,10.0,22.0,27.0,28.0,31.0,32.0,8.0
,,,,12/23,19.0,20.0,36.0,40.0,41.0,43.0,22.0
,,,,12/19,1.0,15.0,16.0,20.0,21.0,25.0,19.0
,,,,12/16,3.0,4.0,5.0,13.0,34.0,42.0,18.0
,,,,12/12,2.0,19.0,21.0,24.0,35.0,42.0,17.0
,,,,12/9,11.0,19.0,26.0,28.0,29.0,36.0,1.0
,,,,12/5,2.0,10.0,15.0,25.0,35.0,37.0,22.0
,,,,12/2,19.0,23.0,29.0,33.0,36.0,40.0,27.0
,,,,11/28,24.0,25.0,31.0,32.0,34.0,40.0,12.0
,,,,11/25,1.0,3.0,6.0,23.0,28.0,35.0,14.0
,,,,11/21,9.0,20.0,26.0,28.0,30.0,42.0,6.0
,,,,11/18,12.0,13.0,17.0,28.0,37.0,43.0,27.0
,,,,11/14,18.0,29.0,30.0,38.0,39.0,43.0,40.0
,,,,11/11,10.0,24.0,30.0,36.0,37.0,41.0,5.0
,,,,11/7,8.0,9.0,11.0,27.0,36.0,38.0,18.0
,,,,11/4,1.0,2.0,4.0,14.0,27.0,43.0,41.0
,,,,10/31,6.0,11.0,21.0,33.0,39.0,42.0,18.0
,,,,,10.0,11.0,17.0,25.0,34.0,38.0,
,,,,,1.0,16.0,18.0,26.0,27.0,35.0,
,,,,,2.0,12.0,13.0,21.0,23.0,43.0,
,,,,,2.0,14.0,15.0,25.0,26.0,42.0,
,,,,,10.0,22.0,26.0,27.0,29.0,37.0,
,,,,,5.0,9.0,14.0,32.0,39.0,41.0,
,,,,,1.0,9.0,26.0,28.0,31.0,38.0,
,,,,,1.0,6.0,19.0,29.0,33.0,35.0,
,,,,,3.0,8.0,12.0,14.0,17.0,40.0,
